Id,What,Source
Lebensraum/Living Space,"Hitler stipulated that Germany required a Lebensraum ('living space') necessary for its survival and that most of the indigenous populations of Central and Eastern Europe would have to be removed permanently (either through mass deportation to Siberia, death, or enslavement) including Polish, Ukrainian, Russian, Czech and other Slavic nations considered non-Aryan. The Nazi government aimed at repopulating these lands with Germanic colonists in the name of Lebensraum during World War II and thereafter. Entire indigenous populations were decimated by starvation, allowing for their own agricultural surplus to feed Germany.",3/18 Lecture 25
Antisemetism,"Antisemitism is hostility to, prejudice, or discrimination against Jews. A person who holds such positions is called an antisemite.",3/18 Lecture 25
Ethnic Cleansing,"Want to move populations for Germans. More German Spaces. Part of this was the Wartheland, which was formed from parts of the Polish territory annexed. With this came, Deutsche Volksliste, A list of Germans who could settle in those German spaces.",3/18 Lecture 25
General Plan East,"Sketched out in 1940. Expulsion plan for large parts of Poland, Ukraine and Crimea. 30-40 million slavs either rmoved or killed. Soviet POWs were forced into a “Hunger Plan”, in winter 1941-1942, 3.3 million dead!",3/18 Lecture 25
Concentration Camp,"Initially setup to take in political prisoners in 1933. These camps pitted prisoners against each other by categorizing and separating them. Inside the camps was Disease, starvation and overcrowding.",3/18 Lecture 25
Holocaust,"The “Final Solution”. Initially started with killing in cities and towns, often with the help of local police that drew on longstanding anti-semitism in Europe. After “Holocaust by bullets”, the Holocaust turned to shipping people to concentration camps. Eventually, the holocaust turned to death marches as the West advanced.",3/18 Lecture 25
Auschwitz,"The site of a major concentration camp. Transport trains delivered Jews from all over German-occupied Europe to the camp's gas chambers from early 1942 until late 1944. At least 1.1 million people died at Auschwitz of the estimated 1.3 million sent there, and some 90 percent of them were Jews. Approximately one in six Jews killed in the Holocaust died at the camp. ",3/18 Lecture 25
Holodomor,"The requisitioning of seed grain to meet quotas and handle bad harvests. This was an attempt to eliminate Kulaks, but the famine was not necessary. By 1936, 90% of peasants collectivized. ","3/18 Lecture 25, 3/20 Lecture 26"
Purges,"The Great Purges was a campaign of political repression in the Soviet Union which occurred from 1936 to 1938. It involved a large-scale purge of the Communist Party and government officials, repression of wealthy landlords and the Red Army leadership, widespread police surveillance, suspicion of saboteurs, counter-revolutionaries, imprisonment, and arbitrary executions. In Russian historiography, the period of the most intense purge, 1937–1938, is called Yezhovshchina (literally, ""Yezhov phenomenon"",[note 1] commonly translated as ""times of Yezhov"" or ""doings of Yezhov""), after Nikolai Yezhov, the head of the Soviet secret police, the NKVD, who was executed a year after the purge. Modern historical studies estimate the total number of deaths due to Stalinist repression in 1937–38 to be between 681,692-1,200,000. These people were either killed or taken to Gulags. This was sparked by the Kinov Assassination, a party boss whom Stalin considered a threat to his rule. Much paranoia about criticism, “class enemies,” and fascist spies. Part of the purges were show trials, often with bloodstained confessions. As a result, 37,000 officers were purged, which may have weakened the Soviet position at the start of WWII.",3/18 Lecture 25
Gulag,"Work camps. Numbers rise from thousands to hundreds of thousands. With purges, there was over a million. These purges were not focused on rehabilitation, but instead on productivist mentality.",3/20 Lecture 26
Jewish Councils,"Set up councils and ghettos between 1939-1942. Serve as intermediaries between Germans and Jews. They were given the job of dealing with crises like housing, food shortages, epidemics/public health and typhus. Initially they tried to open relations with German.s These were based on two false assumptions: That middle level generals had power & Nazis would be economically partial. After the invasion of USSR in 1941, Ghettos were cleared. ",3/20 Lecture 26
Warsaw Ghetto Uprising,"April 19-May 16th. Smuggled in weapons, last shot for them. The Polish army didn’t help since they felt they weren’t ready. The Jews also felt that since the Red Army was close by, that they would help out and liberate them. Instead, the red army waited until the uprising was over, and then invaded.",3/20 Lecture 26
Treblinka,"Construction began in 1942 (completed in July 11). With this tool, Himmler orders complete killings of Jews. Initially they buried the bodies, but they eventually had to kill so much that they ended up burning the bodies. The net result of this was that with only 30 Germans, 120 Ukrainians and 800 Jewish workers, 950,000 Jews were killed. There were only 50 survivors. The camp was used until May 1943, when it was dismantled.",3/20 Lecture 26
Josef Goebbels,"Goebbels jobs was to keep the home front happy, while the horrors happened on the front lines. To do this, there was a heavy use of propaganda, of which Goebbels was the head of. This propaganda used both fear and heroics as their message.",3/25 Lecture 28
Kinderlandverschickung (KLV),"The evacuation of children in Germany during the World War II was designed to save children in Nazi Germany from the risks associated with the aerial bombing of cities, by moving them to areas thought to be less at risk. This was very unpopular.",3/25 Lecture 28
Sauckel Action,"Forced labor, pressures, collaborators over Europe. Drew from all over Europe.",3/25 Lecture 28
The Blitz,"1940-1941. 267 Days when London was bombed 71 times. 40,000 were killed. As a result, 800,000 children were sent to the countryside. ",3/25 Lecture 28
Kindertransport,"Kindertransport was a organised rescue effort that took place during the nine months prior to the outbreak of the Second World War. The United Kingdom took in nearly 10,000 predominantly Jewish children from Germany, Austria, Czechoslovakia, Poland, and the Free City of Danzig. The children were placed in British foster homes, hostels, schools and farms. Often they were the only members of their families who survived the Holocaust. Most importantly, the programme was supported, publicised and encouraged by the British Government, which waived some immigration requirements",3/25 Lecture 28
Charles De Gaulle,Exiled French leader. Sent Jean Moulin back to France to coordinate 8 major resistance groups -> “National Council of the Resistance”. Eventually gained more support as tide turned.,3/25 Lecture 28
Tehran Conference,1943 Conference where the planning of how to take back France. This also created the “Grand Alliance”. Part of this outcome was the decision to disallow for suing for separate peace. They all agree on D-Day.,3/27 Lecture 29
Grand Alliance,"The Grand Alliance, also known as The Big Three, was a military alliance consisting of the three major Allies of World War II: the Soviet Union, the United States, and the United Kingdom. It is often called the ""Strange Alliance"" because it united the world's greatest capitalist state, the greatest communist state and the greatest colonial power.",3/27 Lecture 29
Stalingrad,"Aug 1942 - Feb 1943. Decisive soviet victory, but largest loss in a single fight in history. Germans wanted to attack the area so that they could get to the oil north of Stalingrad.",3/27 Lecture 29
D-Day,"June 6th, 1944. “Operation Overlord”. Allied superiority on fire power, tanks, air control. ",3/27 Lecture 29
VE-Day,"May 8th, 1945. When the German surrendered both in Reims, France, as well as Berlin.",3/27 Lecture 29
Battle of Berlin,"April 16 - May 2, 1945. Hitler killed himself during the battle on April 30th. ",3/27 Lecture 29
Home Army (Armia Krajowa),"400,000 members, founded in 1942. They were more mainstream, conservative, nationalistic and didn’t welcome Jews. They were supported by the exiled Polish government in London. They were behind the Warsaw uprising. ",4/1 Lecture 31
People’s Army (Armia Ludowa),"Left wing group, smaller than the home army. They cooperated with the Red Army and aimed to create a pro-Soviet-Union government in Poland. ",4/1 Lecture 31
Katyln Massacre,"Katyln Massacre was a series of mass executions of Polish military officers and intelligentsia carried out by the Soviet Union, specifically the NKVD (""People's Commissariat for Internal Affairs"", aka the Soviet secret police) in April and May 1940. Though the killings took place at several places, the massacre is named after the Katyn Forest, where some of the mass graves were first discovered. Every university graduate a military reserve officers, so decimated educated classes.",4/1 Lecture 31
Lublin Government,"the Lublin Committee, was an executive governing authority established by the communists in Poland at the later stage of World War II. It was officially proclaimed on 22 July 1944 in Chełm, installed on 26 July in Lublin and placed formally under the direction of the State National Council (Krajowa Rada Narodowa, KRN). The PKWN was a provisional entity functioning in opposition to the Polish government-in-exile, the internationally recognized government of Poland. The PKWN exercised control over Polish territory retaken from Nazi Germany by the Soviet Red Army and the Polish People's Army. It was sponsored and controlled by the Soviet Union and dominated by Polish communists.",4/1 Lecture 31
Cursed Soldiers (źolnierze wykłęci),"Partisan fighting against Soviets continuing even into 1950s, but unsuccessful. They were eventually hunted down by the Polish ministry.",4/1 Lecture 31
Yalta Conference,"Agreement among the “Great Powers” that Germany must surrender unconditionally, as well as Germany must go through demobilization and denazification. ",4/3 Lecture 32
Potsdam Agreement,"Plan for Europes borders. This agreement split Germany into 4 zones, agreement that the soviets may only extract reparations from it’s zone of occupants. Sign that European countries were to be friendly towards the soviet union.",4/3 Lecture 32
Displaced Persons (DPs),"Between May and September 1945, 6-7 million displaced persons, mostly former forced laborers repatriated. Initially, western allies forced DPs from eastern Europe to return (Soviet Union, including Baltic states, Poland, Ukraine, Hungary, Romania). Then, backed off as tensions with Soviet Union heightened.",4/3 Lecture 32
(German) Expellees,"Eastern European countries forcing out Germans, May-August 1945. Unorganized, often by local authorities. German fear of local retribution. Between 15-30,000 Germans killed in Czechoslovakia immediately after the war. 
",4/3 Lecture 32
Population Transfers,"Part of the Potsdam agreement.  12 million ethnic Germans expelled from 1944-1948. In accordance with the Potsdam agreement, there was the removal of Germans in Poland, Czechoslovakia, Hungary. This was organized and processed by the Allies. Later germans took over the process. ",4/3 Lecture 32
League of Nations,"Founded in 1919 with the Treaty of Versailles. The organization had no power. The guiding philosophy was to create nation-states with homogeneous populations. This transformed how states view their “people”, from subjects to citizens. ",4/8 Lecture 34
United Nations,"On October 24th, 1945, United Nations came into existence in San Francisco. This organizations was founded to protect human rights, though it was up to sovereign nations to uphold. One problem was that only states can bring forth complaints/violations to the United Nations.",4/8 Lecture 34
Declaration of Human Rights,"Founded in 1948, several key concepts. Natural: Inheres in the individual simply by virtue of being a person, Inalienable: Cannot be removed, Universal: Applies to everyone. To be protected by an international body that was founded a few years earlier, the United Nations.",4/8 Lecture 34
International Military Tribunal,"UN War Crimes commission, collected evidence of war Grimes (1943-1948). No power to prosecute. These trials were called the Nuremberg Trials. The totality of war ushered in a transformative era internationally. Twenty four major Nazi leaders were tried (Hitler, Himmler, and Goebbels posthumously; Martin Bormann et al. in absentia). Partly denazification; partly response to horrors of total war. Albeit after the fact, holding “perpetrators” accountable for Holocaust, Trying to prevent future war/genocide, Unprecedented response to war.",4/8 Lecture 34
Genocide Convention,"UN General Assembly adopted on December 9, 1948. Effective starting January 12, 1951. Defined genocide in legal terms, Polish Jewish lawyer Raphael Lemkin advocated for it. All participating countries advised to prevent and punish actions of genocide in war and in peacetime.",4/8 Lecture 34
UN Security Council,"First session held on January 17, 1946. Maintaining international peace and security. Accepting new members to the United Nations. Approving any changes to United Nations Charter. Powers include: Establishment of peacekeeping operations, international sanctions and authorization of Military action through Security Council resolutions. The only UN body with binding resolutions to members states. Veto power is given to five permanent members: China, France, Russia, United Kingdom, and United States.",4/8 Lecture 34
Truman Doctrine,“We shall not realize our objectives ... unless we are willing to help free peoples maintain their free institutions and their national integrity against aggressive movements that seek to impose upon them totalitarian regimes… I believe that it must be the policy of the US to support free peoples who are resisting attempted subjugation by armed minorities or by outside pressure.”,4/10 Lecture 35
Two Camps Speech,"Or the Zhdanov Doctrine, 1947. 	Soviet response: outlining the anti-imperialist and democratic camp versus the imperialist and anti-democratic camp (themselves).",4/10 Lecture 35
Marshall Plan,"Economies on the brink of destruction in Europe. Fear of Europeans turning towards communism, American decide on the Marshall plan, which provides $13 billion to rebuild. Initially offered to all of Europe, but Soviets view as plot to expand western power. Only Western states accepted.",4/10 Lecture 35
NATO,Creation of two blocs: Soviet and Western. NATO was the western bloc. This led to the creation of both West and East Germany. ,4/10 Lecture 35
Warsaw Pact,Soviet answer to NATO.,4/10 Lecture 35
Berlin Blockade,Symbolic high-point when Soviets cut off supplies to Berlin. Former capital in Soviet zone of occupation. US responded by shipping everything in by planes. ,4/10 Lecture 35
Korean War,"First “hot” war of the Cold War. 	Korea had been under Japanese imperial control since 1910. Soviet Union not in Pacific theater until war in Europe over (1945). 	On August 8, Red Army into Manchuria and down to the 38th parallel in Korea: helped communists consolidate power. In September 1945, US accepted Japanese surrender south of the 38th parallel. US controlled southern half of the country. Soviet Union withdrew in 1948, US withdrew in 1949.",4/12 Lecture 36
Proxy War,"A proxy war. The Korean War is an instance of this, since the Soviets backed the communists, but the US backed the democratic side.",4/12 Lecture 36
Ho Chi Minh,"In Indochina, French tried to reassert power. Ho Chi Minh declared Vietnam’s independence from France in 1945. America initially supported them. Multi-faceted conflict. Soviets backed government in the North, Americans supported French in the South; Chinese supported Vietnamese rebels. Negotiations result in the Geneva Accords in 1954. Cease-fire and French agreed to withdraw. French-controlled Indochina split into Laos, Cambodia, and Vietnam. Vietnam divided into North and South, with elections promised for 1956.",4/12 Lecture 36
National Liberation Fronts,"National coalitions against Europeans, led by Western-trained intellectuals (e.g. Ghandi). ",4/12 Lecture 36
Decolonization,Decolonization after World War II created many new nations. Stuck between throwing off colonial powers and facing Cold War pressures as newly independent countries.,4/12 Lecture 36
Mutually Assured Destruction (MAD),"Development of “second strike,” or ability to retaliate after an initial attack. Basically, if anyone fires a nuclear weapon, everyone will die.",4/15 Lecture 37
Project Paperclip,"OSS (Precursor to CIA) recruitment of over 1,500 German scientists to help develop weapons. Wernher von Braun as most famous.",4/15 Lecture 37
Göttingen 18,"Not everyone comforted by civil defense measures. Protest movements. Part of this is in 1957, “Göttingen 18” oppose move to arm West Germany with tactical nuclear weapons. Included Werner Heisenberg.",4/15 Lecture 37
Détente,"Early 1970s, new understanding that arms race was unsustainable. Easing of tensions between US and Soviet Union. With this came the Limited Test Ban Treaty, 1963. Significantly restricted nuclear testing: all atmospheric, underwater, and outer space tested to be halted. Underground still allowed ",4/15 Lecture 37
SALT I and II,"SALT I Treaty signed 1972. Anti-Ballistic Missile Treaty: Interim Agreement on the Limitation of Strategic Offensive Arms. Limited countries to two ABM sites, froze number of ICBMs. In 1979, SALT II was agreed to, but US Congress never passed it. 	Limited nuclear arsenals and technology. ",4/15 Lecture 37
Denazification,"Tension between rebuilding/moving on and confronting the past. In both eastern and western sectors, Reeducation, Removing propaganda from schools, Führer cult had to be discredited. Part of this was renaming streets, parks, as well as removing people with Nazi ties from positions of power. In Germany, the initial view was that the Nazis had lied to and betrayed the German people (“Had gone too far”). ",4/17 Lecture 38
Protests of 1968,"New generation that grew up in relative affluence came of age, started asking questions and challenged older generation on a number of fronts: lack of real political alternatives, traditional gender norms, old-fashioned views on education. They also protested the Vietnam war, US involvement in South East Asia, as well as Silence of older generation about collaboration with Nazis. ",4/17 Lecture 38
Red Army Faction,"Influenced by Marxist and Anti-colonial writers, like Frantz Fanon, Ho Chi Minh, Che Guevara, Mao Zedong. Were domestic terrorists. Eventually arrested and imprisoned.",4/17 Lecture 38
Two-Plus-Four Treaty,Promised in the 1990 Two-Plus- Four Treaty that “peace will emanate from German soil”. Creation of independent German nation.,4/17 Lecture 38
