Id,Who,What,When,Where,Why,Details,Source
Pal Battalions,British,"Groups of young men from the same town signing up together, eventually forming a batallion","August, 1914",British,"Devastating due to the fact that if a battalion was killed, an entire town was devastated.",Later would be stopped.,"Lecture 5:Winding Road to World War. 1/26
Lecture 7: World War I and the Home 
Front . 1/22"
Miracle on the Marne,"France, Germany",Germany pushed French as far back as the Marne River (outskirts of Paris). French manage to hold back German advances. Settles into 4 years of trench warfare.,"August, 1914",France and Germany,Shows preparedness of both Germany and France,Taxis took troops to the front line!,Lecture 5:Winding Road to World War. 1/26
Battle of Tannersberg and Masurian Lakes,Germany and Russia,Russia attacks Germany at Battle of Tannersberg and Masurian Lakes. German Success. ,"August, 1914",Germany and Russia,,,Lecture 5:Winding Road to World War. 1/26
Battle of Galicia,Russia and Austria,Austrians defeated by Russians; large casualties. Terrorized Jewish population.,"August-September, 1914",Russia and Austria,"Russia gained 100 miles into 	Carpathian Mountains, began siege on Przemyśl; Austrians surrendered after 133 days. Germany has to bail out Austria.",,Lecture 5:Winding Road to World War. 1/26
Battle of Verdun,Entente and Central Powers,Center of network of French fortresses. French held the line “They shall not pass!”,February-December 1916,"Verdun, France",,Stalemate in the trenches at this point. War of attrition. ,Lecture 6: The Struggle for Hegemony. 1/18
Trench Warfare,Entente and Central Powers,"War of Attrition. Victory no longer achievable by decisive victory, must bleed the French white.",1915 and onward,France and Russia,,Battle of Verdun was Trench warfare,Lecture 6: The Struggle for Hegemony. 1/18
Unrestricted Submarine Warfare,Entente (mostly British) and Central Powers (mostly Germany),Prize rules no longer practical for winning decisive advantage. Germany intermittently used it. Officially introduced in 1917,"Intermittently 1915-1917
Introduced on Feb 1, 1917",Entente and Central Powers,"Led to US entry in war after sinking of the Lusitania (April 6th, 1917). ",,Lecture 6: The Struggle for Hegemony. 1/18
Naval Blockade,British and Germany,Blockaded supplies from entering Central Powers. ,1914-1918,Central Powers,"500,000-750,000 died in Central Europe. Helpful in war for Entente",,Lecture 6: The Struggle for Hegemony. 1/18
Zimmerman Telegram,Germany and Mexico,Germany proposed Mexico align with Germany and invade America. ,"January 9th, 1917",Mexico,Made Americans furious,,Lecture 6: The Struggle for Hegemony. 1/18
Burgfrieden/Union Sacrée ,France,Political Truce in France that united the leftist with the French government. Meant that there were no strikes for the first couple years (until 1917 due to inflation vastly outpacing wages).,1914,France,,"Spirit of 1914, everyone though the war was going to be over quickly",Lecture 7: World War I and the Home Front. 1/22
Hindenburg Program,Germany,"All males between 16-65 required to do some sort of national service, called Auxiliary Service Law. Intended to double industrial output. Had to work in a factory or on a farm.",1916,Germany,,War government consolidated under military authority,Lecture 7: World War I and the Home Front. 1/22
Rationing,Entente and Central Powers,"Food and other commodities government regulated, Increasingly expensive or impossible to get, Inflation",1914-1918,Entente and Central Powers,,"Germany had “Turnip Winter”. Crops failed, had major shortages. Low morale.",Lecture 7: World War I and the Home Front. 1/22
Treaty of Brest-Litovsk,Germany and Russia,"Massive unrest in Russia (Tsar abdicated, Bolshevik Revolution). Sued for a separate peace with Central Powers. ",March 1918,Russia and Germany,"Helped free up Germany supplies to fight in the west/France. By that time though, supplies were small, had to do Ludendorff Offensive (failed).",,Lecture 8: Discussion of World War I. 1/25
Diktat,"US, France, Britain, Russia and Germany","Germans believed that the Treat of Versailles was dictated to them “diktat”, had no part in negotiations. ",June 1918,Germany,,War Guilt clause angered germans as well.,Lecture 9: Peace and Reconstruction. 1/28
Treaty of Versailles,,,,,,,Lecture 9: Peace and Reconstruction. 1/28
Fourteen Points,,,,,,,Lecture 9: Peace and Reconstruction. 1/28
League of Nations,,,,,,,Lecture 9: Peace and Reconstruction. 1/28
Successor States,,,,,,,Lecture 9: Peace and Reconstruction. 1/28
Silesian Plebiscite,,,,,,,Lecture 9: Peace and Reconstruction. 1/28
