Id,Who,What,When,Where,Why,Details,Source
Pal Battalions,British,"Groups of young men from the same town signing up together, eventually forming a batallion","August, 1914",British,"Devastating due to the fact that if a battalion was killed, an entire town was devastated.",Later would be stopped.,"Lecture 5:Winding Road to World War. 1/26
Lecture 7: World War I and the Home 
Front . 1/22"
Miracle on the Marne,"France, Germany",Germany pushed French as far back as the Marne River (outskirts of Paris). French manage to hold back German advances. Settles into 4 years of trench warfare.,"August, 1914",France and Germany,Shows preparedness of both Germany and France,Taxis took troops to the front line!,Lecture 5:Winding Road to World War. 1/26
Battle of Tannersberg and Masurian Lakes,Germany and Russia,Russia attacks Germany at Battle of Tannersberg and Masurian Lakes. German Success. ,"August, 1914",Germany and Russia,,,Lecture 5:Winding Road to World War. 1/26
Battle of Galicia,Russia and Austria,Austrians defeated by Russians; large casualties. Terrorized Jewish population.,"August-September, 1914",Russia and Austria,"Russia gained 100 miles into 	Carpathian Mountains, began siege on Przemyśl; Austrians surrendered after 133 days. Germany has to bail out Austria.",,Lecture 5:Winding Road to World War. 1/26
Battle of Verdun,Entente and Central Powers,Center of network of French fortresses. French held the line “They shall not pass!”,February-December 1916,"Verdun, France",,Stalemate in the trenches at this point. War of attrition. ,Lecture 6: The Struggle for Hegemony. 1/18
Trench Warfare,Entente and Central Powers,"War of Attrition. Victory no longer achievable by decisive victory, must bleed the French white.",1915 and onward,France and Russia,,Battle of Verdun was Trench warfare,Lecture 6: The Struggle for Hegemony. 1/18
Unrestricted Submarine Warfare,Entente (mostly British) and Central Powers (mostly Germany),Prize rules no longer practical for winning decisive advantage. Germany intermittently used it. Officially introduced in 1917,"Intermittently 1915-1917
Introduced on Feb 1, 1917",Entente and Central Powers,"Led to US entry in war after sinking of the Lusitania (April 6th, 1917).",,Lecture 6: The Struggle for Hegemony. 1/18
Naval Blockade,British and Germany,Blockaded supplies from entering Central Powers. ,1914-1918,Central Powers,"500,000-750,000 died in Central Europe. Helpful in war for Entente",,Lecture 6: The Struggle for Hegemony. 1/18
Zimmerman Telegram,Germany and Mexico,Germany proposed Mexico align with Germany and invade America. ,"January 9th, 1917",Mexico,Made Americans furious,,Lecture 6: The Struggle for Hegemony. 1/18
Burgfrieden/Union Sacrée ,France,Political Truce in France that united the leftist with the French government. Meant that there were no strikes for the first couple years (until 1917 due to inflation vastly outpacing wages).,1914,France,,"Spirit of 1914, everyone though the war was going to be over quickly",Lecture 7: World War I and the Home Front. 1/22
Hindenburg Program,Germany,"All males between 16-65 required to do some sort of national service, called Auxiliary Service Law. Intended to double industrial output. Had to work in a factory or on a farm.",1916,Germany,,War government consolidated under military authority,Lecture 7: World War I and the Home Front. 1/22
Rationing,Entente and Central Powers,"Food and other commodities government regulated, Increasingly expensive or impossible to get, Inflation",1914-1918,Entente and Central Powers,,"Germany had “Turnip Winter”. Crops failed, had major shortages. Low morale.",Lecture 7: World War I and the Home Front. 1/22
Treaty of Brest-Litovsk,Germany and Russia,"Massive unrest in Russia (Tsar abdicated, Bolshevik Revolution). Sued for a separate peace with Central Powers. ",March 1918,Russia and Germany,"Helped free up Germany supplies to fight in the west/France. By that time though, supplies were small, had to do Ludendorff Offensive (failed).",,Lecture 8: Discussion of World War I. 1/25
Diktat,"US, France, Britain, Russia and Germany","Germans believed that the Treat of Versailles was dictated to them “diktat”, had no part in negotiations. ",June 1918,Germany,,War Guilt clause angered germans as well.,Lecture 9: Peace and Reconstruction. 1/28
Treaty of Versailles,Entente and Central Powers,"Traditional War Aims, made it super terrible for the Germans. Contained the “War Guilt” clause, which stated that Germany was wholly responsible for the war. Germany obviously not happy. Germany loses 1/7th of territory. Loses 1/10th of population. Germany army was limited to 100,000 men. Huge power imbalance.",June 1919,"Paris, France",,War Guilt clause angered germans as well.,Lecture 9: Peace and Reconstruction. 1/28
Fourteen Points,Woodrow Wilson,Notion of how to create a new world order. Create counter with self-determination. Wanted League of Nations.,January 1918,"United States, World",Attempt to form world order,,Lecture 9: Peace and Reconstruction. 1/28
League of Nations,Woodrow Wilson,Germany somewhat agrees. Conflicts with Fr and Br goals.,January 1920,World,"Attempt as world peace and world order. Failed, but very influential on today’s UN.",,Lecture 9: Peace and Reconstruction. 1/28
Successor States,"Czechoslovakia, Yugoslavia, Poland, Romania","Creation of Czechoslovakia, Yugoslavia, Poland, Romania nations. 30 million people into nation- states of which they weren’t members.","After WW1, June 1919","Czechoslovakia, Yugoslavia, Poland, Romania",After negotiations and establish in treaty of versailles,,Lecture 9: Peace and Reconstruction. 1/28
Provisional Government,"Lvov, Kerensky. ",Lvov and then Kerensky as prime minister. After Feb Revolution.,2 Mar 17,Russia,,,"Lecture 10: Background to the Russian 
Revolution. 1/30"
Soviet,Soviets,Worker Unions/Councils. Work together with provisional government until Lenin. Remerge in 1917. Large following from army.,,Russia,,,"Lecture 10: Background to the Russian 
Revolution. 1/30"
Bolsheviks,"Bolsheviks, Lenin",Led by Lenin. Full blown socialists and communists.,,Russia,"Reemerge on April 17th, 1917 when Lenin announces April Theses. “All Power to Soviets”",,"Lecture 10: Background to the Russian 
Revolution. 1/30"
Lenin,Lenin,Leader of bolsheviks. Led October Russian Revolution. Dies ,Died 1924.,Russia,"Need for revolution before Kerensky surrendered Petrograd to the Germans. Impatient->encourages Bolshevik leaders to prepare for revolution. Returns to Petrograd, October 7. Gets bolshevik council to place armed uprising on agenda. Kerensky then moves against the bolsheviks, which get backed by the soldiers of capital (SRs).",,"Lecture 10: Background to the Russian 
Revolution. 1/30"
Kerensky,Kerensky,Prime minister of provisional government. In opposition to bolsheviks. ,,Russia,,,"Lecture 10: Background to the Russian 
Revolution. 1/30"
Kornilov,Kornilov,"Military leader. Supreme leader of army. Hostile to revolution. Made inflammatory speeches. Ran into problems with Kornilov affair, where he attempted to establish a military dictatorship in Petrograd (in order to restore order). Kerensky backed out at the 11th hour. Caused soviets to rally to provisional government. Increased fears about counterrevolution.",,Russia,,,"Lecture 10: Background to the Russian 
Revolution. 1/30"
State Capitalism,Russia,"Economic system in which commercial economic activity is undertaken by the state. Preserved what it could of existing economy, held back from nationalizing industries. Had problems with “bourgeois specialists” -> no on had expertise on how to run economy.",October 1917 – July 1918,Russia,,,Lecture 12: Russian Civil War. 2/4
War Communism,Russia,"Goal to keep towns and Red Army stocked with food and weapons during the war. Nationalize all economies. Rationing of food, Private enterprise banned. State left foreign trade",1918-1921,Russia,,Workers forbidden to strike. Obligatory labor duty for non- working classes. -> Largely ineffective. Breakdown of society and economy on most basic levels. Led to bartering system.,Lecture 12: Russian Civil War. 2/4
Cheka,"Secret Police, Russia",Used terror to eliminate real and perceived enemies. ,"Dec 20, 1917",Russia,Need to keep Bolsheviks in power.,,Lecture 12: Russian Civil War. 2/4
Whites,Russia,"Didn’t want Bolsheviks in power— Conservatives, liberals, tsarists, democrats. Leads to civil war. Largely uncoordinated and independent. ",1918,,,Had international support. ,Lecture 12: Russian Civil War. 2/4
Russian Civil War,Bolsheviks (Reds) vs Whites,"Three Phases: Revolution to Armistice (October 1917 – November 1918), White Army advances; Red Army counterattacks (January – November 1919) and White siege of Crimea; evacuated to Constantinople, November 1920, Bolsheviks regaining control in the east (1920 – 1922).
","1918-1920 (in some places, 1922)",Russia,,"White forces coalescing in summer 1918, Cossack General Kaledin taking control in the Don region; gathering a Volunteer Army. 	Fighting largely sporadic. Red Army only had relatively small stronghold of major cities. Japan eventually attacks in Asia/Vladivostok. After Red counterattacks in late 1919, war steadily wound down. 
",Lecture 12: Russian Civil War. 2/4
Stalin,Russia,"Sided with Lenin for socialist revolution. Voted for Brest-Litovsk. Stalin became Secretary General of Bolshevik Party (now called the Communist Party), 1922. Starts to eliminate rivals. ",Eliminated all rivals by 1927-1928,Russia,,"Less cosmopolitan and theoretical than other well-known Bolsheviks. Increasing cult of personality, embarks on violent project of modernizing the Soviet Union through collectivization and industrialization.",Lecture 14: Interwar Democracies. 2/8
Soviet Union,"Russian, Transcaucasian, Ukrainian, and Belorussian republics",United Soviet Socialist Republics,Founded 1922,Russia,,,Lecture 14: Interwar Democracies. 2/8
“Socialism in One Country”,Stalin,"Theory put forth by Stalin, soviet union should start to strengthen itself through national communism. ",1924,Russia,,,Lecture 14: Interwar Democracies. 2/8
New Woman,United States,"Increased amount of egalitarianism. Social distinction, gender relationships changing. Mass-produced clothing. Women working outside of the home. Changed gender relationships. Emancipation of youth.",,United States,,"Backlash from religious leaders, traditionalists, and right wing movements",Lecture 14: Interwar Democracies. 2/8
Mass Entertainment,United States,"Rise of popular culture. Newspapers, radio, film. Development of Mass Leisure",,United States,,,Lecture 14: Interwar Democracies. 2/8
Fascism,Italy,"Combination of two of the greatest ideologies of the twentieth century: nationalism and socialism. Leadership principle, corporative hierarchy order, myth of uniqueness and superiority. Action oriented.",Idea in 1919,Italy,,"-Anti Party, Anticapitalist, antidemocratic, totalitarianism. Industries should be organized into syndicates or confederations and industries owned and managed by the workers.","Lecture 15: Rise of Fascism in Italy 
. 2/11"
Irredentism,Italy,"Many in Italy felt like they didn’t get enough out of WW1, not compensated enough for loses. “unredeemed territory”",After WW1,Italy,,,"Lecture 15: Rise of Fascism in Italy 
. 2/11"
March on Rome,Italy,Mussolini marching to Rome: “Either they will give us the government or we shall seize it by descending upon Rome”. Huge bluff that worked out. King frightened into accepting Mussolini as prime minister.,1922,Italy,,,"Lecture 15: Rise of Fascism in Italy 
. 2/11"
Acerbo Election Law,"Italy, Mussolini",1⁄4 of popular vote gets 2/3 of seats in Chamber of Deputies. Makes Mussolini powerful and won.,1924,Italy,,,"Lecture 15: Rise of Fascism in Italy 
. 2/11"
Council of Corporations,"Italy, Mussolini, Giovanni Gentile","Alternative to exploitation and class war. Implementing syndicalist ideas to economy -> dividing economic activity into different corporations with management and labor making compromises. 
",,Italy,,,"Lecture 15: Rise of Fascism in Italy 
. 2/11"
Concordata (Italy)/Lateran Pact,Germany and Italy,"Friendship treaty with Germany, because increasingly ostracized by West, 1936",1937,Italy and Germany,,"Creating a “Berlin-Rome Axis”, 	Supported Hitler’s annexation of Austria in 1938, Pact of Steel, 1939 (military treaty).","Lecture 15: Rise of Fascism in Italy 
. 2/11"
Hyper-Inflation,Germany,"Deficit spending during the war, trade union pressure for higher wages, reparations = rise of wholesale prices. ",Great Depression,Germany,,"When Depression hits its peak in 1931 (or so), hyperinflation 10 years in the past but memory of it still strong. Dawes plan enacted in response.",Lecture 16: The Great Depression. 2/13
Autarky,Nations,Turn to self sufficiency. Hurts global trade as expected. Backfires.Only in 1930 did trade exceed pre-war levels.,,,,,Lecture 16: The Great Depression. 2/13
Keynes,Economic System,Idea of ending gold standard and allowing for deficit spending.,"Great Depression, After WW1",World,,,Lecture 16: The Great Depression. 2/13
Gold Standard,Five Great Powers,"Reintroduction of gold standard after WW1, for stability reasons. 1930s","Ended Britain: 1931, US: 1933, Fr: 1936",,"Britain reintroduced Gold Standard, 1925 ",,Lecture 16: The Great Depression. 2/13
Collectivization,Russia,"Had backed off of command economy in 1920s, reintroduced some markets and capitalist mechanisms. Scissors Crisis, starting 1923. Collective farm rented to farmers, required to deliver fixed quota of grain at harvest time, Industrialization of agriculture.",1928,Stalin,Kulak: 	“wealthy” peasants accusing of hoarding grain rather than selling it  ,"By 1927, peasants hoarding grain rather than sell it. 30% decline of provisions though previous harvest bountiful ",Lecture 16: The Great Depression. 2/13
Five Year Plan,Russia,Massive industrial projects to overtake the West. Compulsory labor. ,1929,Stalin,2.5 to 10 million tons of pig iron in 2 years. Part of Industrialization effort in Russia,,Lecture 16: The Great Depression. 2/13
Great Depresssion,"United States, World","International Crisis. US ended up recalling loans to Germany. Collapse of debt service. Strongest in most industrialized countries. 1932 as worst year, failure of deflationary measures.",1929,"United States, World",,"1929’s stock market crash. Created new pressures and political radicalization that liberal democracies struggled to effectively resist. 15 million unemployed in US, 6 million in Germany. Another 1⁄4 of workforce underemployed. Bourgeois fear of “proletarianization”: fearing downward social mobility; loss of class and status.",Lecture 16: The Great Depression. 2/13
Francisco Franco,Francisco Franco,"Risked demotion under Republican reforms. Assumed leadership of Spanish African Army on July 18, 1936 (30,000 soldiers). Seized control of Spanish Moroccan Protectorate.",Started war in 1936,Spain,,,Lecture 17: The Spanish Civil War. 2/20
Falange,Falange Party,"Fascist movement on the nationalist side, founded 1933. Founded and led by Jose Antonio Primo de Rivera (later executed by Republic and succeeded by Franco). Repudiated the republican constitution, funded by Mussolini. ",1933,Spain,,"Blamed unholy trinity of “Jews, Freemasons, and Bolsheviks” for Spain’s troubles.",Lecture 17: The Spanish Civil War. 2/20
Republicans (Spanish Civil War),Supporters of rebublic,"Committed to form of progress, won 1936 election.","Outbreak of Spanish War, 1936",Spain,,Supported by Mexico and Soviet Union.,Lecture 17: The Spanish Civil War. 2/20
Nationalists (Spanish Civil War),Supporters of Facists,"Any reform too much for Republic’s greatest opponents, the Church and the army. Falange","Outbreak of Spanish War, 1936",Spain,,"Supported by Mussolini and Hitler. Mussolini sends 100,000 men, Hitler supplies airplanes. Luftwaffe testing its methods that would be used in WW2.",Lecture 17: The Spanish Civil War. 2/20
Guernica,Picasso,Painting of devastation that the Germans enacted in Guernica.,1937,Spain,,,Lecture 17: The Spanish Civil War. 2/20
International Brigades,International Brigades,"Fighters from the around the world, fighting against facism. ","Outbreak of Spanish War, 1936",Spain,,,Lecture 17: The Spanish Civil War. 2/20
